model,RMSLE_train,RMSLE_test,RMSE_train,RMSE_test,R2_train,R2_test,Train_Time,RMSLE_CV_mean,RMSLE_CV_std
LinearRegression,0.13964033502444337,0.16579483746668566,23394.071716107508,25034.916156164625,0.9011926271556336,0.8762713933552282,0.05065345764160156,0.17231813560803355,0.04554514904459587
Ridge,0.1402778056369436,0.1656246573273444,23397.553755877037,25037.677167138278,0.9011632114292292,0.8762441006831558,0.008086204528808594,0.17535595620893663,0.054214954316972985
RandomForest,0.05142363024040298,0.14903216662677043,8749.774864904086,23354.22366387884,0.9861779813229243,0.8923265298373912,0.9100251197814941,0.1321432929220456,0.01915367302430032
XGBoost,0.057531283442757375,0.1325218616558095,8898.28747568879,21086.024945446687,0.985704779624939,0.9122257232666016,0.9086363315582275,0.11994999973114313,0.012607220024688157
LightGBM,0.036142487773894616,0.134183019296177,7371.095095825345,20933.176704418252,0.9901906157576846,0.9134936239749789,1.6892952919006348,0.12554366654308055,0.01283889033486255
CatBoost,0.09679167695475366,0.13292116495124526,16164.947816890164,20790.310294381474,0.9528234332412573,0.9146703857930321,1.347905158996582,0.12079033452784335,0.01263120008484213
CatBoost_GridSearch,0.0415965386076658,0.12760889448016033,6178.3547427978465,19752.958880475246,0.9931083470448918,0.922973146238762,2.4517323970794678,0.11265324411962865,0.010689035960501045
XGBoost_GridSearch,0.027750801588658582,0.12756201273229453,4018.5797242309377,20202.567757589626,0.9970844388008118,0.9194267392158508,0.9873108863830566,0.1140458597166992,0.012446246334050597
