iter	RMSE
130	20139.12217
131	20076.21353
132	20024.52235
133	19952.73843
134	19890.46592
135	19830.27611
136	19768.8491
137	19706.62435
138	19656.63949
139	19588.99906
1140	19270.958141141	19222.256142142	19151.569143143	19088.605144144	19029.7145	1145	18953.3146	1146	18903.1147	1147	18847.0148	148	18792.61149149	18744.863150150	18696.896151151	18655.486152152	18607.331153153	18546.384154154	18512.146155155	18462.370156156	18414.37623
157	18356.019158158	18302.86752
159	18253.00525
160	18209.33697
161	18145.7001
162	18110.45912
163	18070.18997
164	18016.90461
165	17964.73592
166	17920.35257
167	17882.93168	168	17844.17169	169	17776.61170	170	17749.1171	1171	17691.6172	172	17637.34173173	17595.101174174	17549.00175	175	17504.35176	176	17461.35177	177	17419.99178	178	17379.60179	179	17334.69180	180	17289.44181	181	17242.33182	182	17199.76748
183	17147.56024
184	17112.87589
185	17071.39966
186	17030.05509
187	16994.48188	188	16957.02189	189	16924.69190	190	16886.64191	191	16859.0919192	16829.43921193	16781.803281194	16748.940821195	16697.369091196	16666.515271197	16632.775131198	16580.988411199	16554.190282200	16522.48689
201	16480.134282202	16459.765262203	16408.828222204	16369.439982205	16346.302852206	16301.935162207	16258.498182208	16238.680182209	16192.71969
210	16155.00823
211	16115.00565
212	16089.89445
213	16063.84291
214	16027.55962
215	16001.18087
216	15973.70582
217	15943.52326
218	15904.0708
219	15864.85274
220	15840.82229
221	15816.31819
222	15794.68773
223	15771.11566
224	15750.95526
225	15720.25377
226	15680.90139
227	15637.88786
228	15608.94408
229	15572.86455
230	15561.11956
231	15521.83648
232	15498.23375
233	15469.23665
234	15437.75554
235	15415.48247
236	15394.74559
237	15362.75333
238	15332.91536
239	15312.81712
240	15277.69568
241	15253.87497
242	15229.93893
243	15196.89689
244	15157.57416
245	15136.56155
246	15106.22321
247	15076.66824
248	15055.27399
249	15015.37557
250	14997.27051
251	14975.77635
252	14949.09531
253	14905.0171
254	14880.96739
255	14865.88979
256	14832.02883
257	14806.23346
258	14783.1852
259	14759.01766
260	14735.26005
261	14715.46979
262	14673.40199
263	14641.04561
264	14626.41661
265	14601.78596
266	14582.08104
267	14565.35051
268	14536.10872
269	14523.77499
270	14498.9357
271	14476.61885
272	14452.15821
273	14423.84419
274	14397.19907
275	14384.61325
276	14375.24381
277	14356.49981
278	14324.47918
279	14316.63463
280	14287.8765
281	14258.59294
282	14247.40114
283	14235.88366
284	14226.46897
285	14206.65731
286	14192.60967
287	14174.76068
288	14164.79834
289	14144.75558
290	14136.31878
291	14094.86887
292	14078.05687
293	14041.16883
294	14022.3923
295	14011.58893
296	14001.76964
297	13993.14656
298	13987.78839
299	13953.95201
300	13929.78129
301	13905.67448
302	13887.25973
303	13856.80283
304	13834.73296
305	13815.75681
306	13801.65474
307	13767.40815
308	13730.46818
309	13709.0841
310	13679.52496
311	13655.90888
312	13623.45594
313	13597.99698
314	13564.95766
315	13543.74676
316	13536.99718
317	13520.8334
318	13490.62755
319	13461.28162
320	13446.99321
321	13427.65171
322	13407.8446
323	13394.75263
324	13377.98354
325	13355.0562
326	13347.79096
327	13320.37188
328	13293.43357
329	13263.92063
330	13242.83135
331	13207.04309
332	13188.78641
333	13181.62281
334	13161.75807
335	13132.5281
336	13120.93684
337	13093.94333
338	13072.02521
339	13030.92764
340	12999.1076
341	12977.67531
342	12957.28408
343	12942.0096
344	12932.57805
345	12907.29012
346	12902.45075
347	12874.28775
348	12855.14459
349	12831.76954
350	12825.28853
351	12805.10833
352	12776.26491
353	12763.46934
354	12738.55649
355	12729.34065
356	12712.09182
357	12692.42468
358	12662.17565
359	12639.00565
360	12621.14696
361	12601.27206
362	12595.62366
363	12580.20409
364	12560.07298
365	12533.31814
366	12518.91949
367	12500.58517
368	12482.61892
369	12466.71247
370	12440.72427
371	12423.27974
372	12405.68458
373	12380.66449
374	12367.35353
375	12346.69376
376	12322.63468
377	12288.54222
378	12268.08865
379	12250.63118
380	12229.27169
381	12210.51067
382	12188.0699
383	12160.20083
384	12141.88786
385	12134.86198
386	12130.67466
387	12114.47629
388	12095.61577
389	12066.21959
390	12056.09232
391	12047.46204
392	12043.36469
393	12037.03832
394	12020.4329
395	12004.08073
396	11978.76828
397	11957.20812
398	11932.38513
399	11914.44444
400	11892.10829
401	11858.47245
402	11832.6329
403	11811.59445
404	11798.89681
405	11779.94033
406	11768.25496
407	11743.30362
408	11720.14789
409	11693.12402
410	11678.01042
411	11655.51764
412	11638.0382
413	11617.94148
414	11601.83414
415	11578.91286
416	11552.1274
417	11530.86811
418	11512.3961
419	11497.40436
420	11474.13853
421	11462.19427
422	11447.29626
423	11428.75565
424	11408.46746
425	11381.45578
426	11361.7527
427	11343.93887
428	11335.0861
429	11313.17299
430	11291.13105
431	11273.85901
432	11270.16414
433	11262.00572
434	11236.149
435	11216.0141
436	11194.43125
437	11176.51284
438	11171.14637
439	11142.14776
440	11121.4088
441	11102.95215
442	11086.97259
443	11063.35327
444	11043.76361
445	11031.06975
446	11014.75424
447	10999.74524
448	10980.88887
449	10962.86131
450	10958.18027
451	10938.63863
452	10919.86289
453	10914.29706
454	10893.61783
455	10879.49307
456	10866.67736
457	10850.26793
458	10834.64325
459	10818.77954
460	10812.31604
461	10785.78935
462	10772.51073
463	10745.24485
464	10725.93136
465	10714.9635
466	10703.72015
467	10687.02106
468	10665.70075
469	10633.91711
470	10617.98369
471	10595.17934
472	10580.98657
473	10556.34575
474	10545.6021
475	10533.38251
476	10514.53116
477	10510.13951
478	10495.87092
479	10478.51289
480	10463.15282
481	10449.21664
482	10435.82202
483	10405.97352
484	10389.93863
485	10366.85958
486	10340.35646
487	10329.90677
488	10314.34251
489	10300.86863
490	10298.49516
491	10279.63055
492	10256.0114
493	10241.78613
494	10235.22941
495	10220.58926
496	10197.32432
497	10194.49146
498	10179.89708
499	10163.40945
500	10147.67859
501	10132.84075
502	10110.93785
503	10092.04892
504	10078.29108
505	10067.90409
506	10052.33006
507	10040.17861
508	10022.0195
509	10006.60632
510	9995.512315
511	9979.90631
512	9970.574131
513	9965.147743
514	9954.906894
515	9952.114902
516	9949.038442
517	9935.760584
518	9919.739134
519	9903.638398
520	9890.961473
521	9877.832317
522	9864.528019
523	9849.839005
524	9846.099501
525	9829.135967
526	9804.705801
527	9795.225864
528	9780.447679
529	9762.816077
530	9744.957193
531	9730.031725
532	9717.553968
533	9696.786672
534	9685.13278
535	9670.307141
536	9660.308737
537	9640.791671
538	9626.383055
539	9609.525701
540	9594.047502
541	9589.15059
542	9581.728903
543	9559.053835
544	9548.145375
545	9537.346556
546	9520.231349
547	9510.547226
548	9500.263334
549	9498.48233
550	9484.034361
551	9473.752241
552	9464.596286
553	9455.38722
554	9446.540043
555	9425.018154
556	9409.920886
557	9397.986005
558	9384.858619
559	9372.89666
560	9370.192969
561	9359.979717
562	9342.314687
563	9332.521378
564	9318.067417
565	9300.703315
566	9284.987296
567	9264.245994
568	9252.34052
569	9239.370152
570	9227.576469
571	9212.16859
572	9206.75736
573	9197.503515
574	9181.93758
575	9157.203844
576	9149.323165
577	9132.726498
578	9123.749178
579	9106.339584
580	9088.891621
581	9078.463346
582	9067.356743
583	9051.489434
584	9045.438581
585	9042.690185
586	9028.308137
587	9018.931046
588	9003.025788
589	8991.167602
590	8966.762776
591	8955.956655
592	8945.174021
593	8934.629932
594	8925.621115
595	8912.379098
596	8898.692299
597	8895.97179
598	8884.31744
599	8868.22949
600	8857.613194
601	8840.821073
602	8830.337188
603	8822.733884
604	8811.747499
605	8806.738047
606	8791.334103
607	8781.302325
608	8770.578319
609	8752.397946
610	8744.575532
611	8733.58815
612	8722.467408
613	8717.96409
614	8709.185459
615	8698.702519
616	8686.394906
617	8675.800993
618	8665.186077
619	8662.977109
620	8648.062578
621	8631.05815
622	8615.8448
623	8611.464926
624	8601.122609
625	8590.30281
626	8580.605706
627	8567.192582
628	8564.216681
629	8553.027778
630	8534.901279
631	8524.103178
632	8514.794923
633	8507.855569
634	8496.166199
635	8494.480366
636	8485.184461
637	8474.667858
638	8467.380353
639	8458.416069
640	8439.413874
641	8427.575472
642	8415.208318
643	8405.369755
644	8396.682406
645	8382.910397
646	8369.46661
647	8359.184302
648	8346.468956
649	8334.580848
650	8327.089352
651	8311.994467
652	8293.249493
653	8284.006957
654	8272.930866
655	8260.959084
656	8245.607055
657	8229.75971
658	8218.644485
659	8205.541398
660	8196.099038
661	8190.721118
662	8179.95369
663	8165.813647
664	8150.351115
665	8138.812693
666	8131.217299
667	8121.496674
668	8114.046777
669	8104.724307
670	8091.802074
671	8084.132045
672	8066.743698
673	8059.409135
674	8053.279267
675	8038.00945
676	8031.85097
677	8021.066783
678	8011.067872
679	8009.405375
680	8001.192303
681	7992.797858
682	7981.291466
683	7975.313188
684	7973.689273
685	7965.344577
686	7959.902465
687	7957.644856
688	7948.550709
689	7941.28572
690	7925.073097
691	7918.106449
692	7904.682928
693	7893.287836
694	7886.354365
695	7877.52423
696	7868.160656
697	7853.22027
698	7837.59046
699	7827.979362
700	7819.607446
701	7817.680816
702	7802.984225
703	7790.767585
704	7782.790158
705	7773.640829
706	7767.882051
707	7758.748487
708	7744.846698
709	7737.796866
710	7720.59999
711	7705.469188
712	7696.170122
713	7685.168905
714	7683.60918
715	7668.748868
716	7654.764679
717	7646.436967
718	7635.147421
719	7625.410419
720	7615.92348
721	7603.890267
722	7596.907178
723	7581.539343
724	7573.976761
725	7560.87888
726	7547.412752
727	7544.014962
728	7530.308866
729	7521.367239
730	7513.320739
731	7504.395802
732	7496.324489
733	7487.208503
734	7474.514349
735	7467.547042
736	7455.8899
737	7443.54307
738	7429.975318
739	7423.514793
740	7412.790341
741	7404.630048
742	7396.056921
743	7383.774688
744	7378.877519
745	7370.731131
746	7359.66492
747	7355.056306
748	7347.736156
749	7345.739372
750	7331.602251
751	7320.575772
752	7311.234143
753	7297.792574
754	7282.415411
755	7276.156598
756	7264.290485
757	7256.234606
758	7246.814313
759	7237.833786
760	7230.06101
761	7215.928516
762	7212.859566
763	7200.904488
764	7190.350706
765	7187.119915
766	7176.294689
767	7165.240718
768	7154.915537
769	7146.869687
770	7132.5692
771	7123.369807
772	7117.8533
773	7109.703199
774	7101.925885
775	7100.629471
776	7095.36801
777	7085.618393
778	7076.090969
779	7069.976711
780	7062.47018
781	7050.641362
782	7047.262062
783	7041.391473
784	7032.667917
785	7023.85183
786	7020.013735
787	7010.67541
788	7001.61903
789	6993.233055
790	6991.588894
791	6985.750621
792	6974.632473
793	6967.694486
794	6956.923147
795	6948.751068
796	6939.693486
797	6932.238835
798	6925.617832
799	6915.317465
800	6911.632184
801	6899.295317
802	6892.13637
803	6881.225147
804	6868.806289
805	6860.379455
806	6850.174837
807	6842.563302
808	6828.903415
809	6827.856529
810	6816.325193
811	6809.11431
812	6798.481086
813	6792.129059
814	6782.923853
815	6779.018526
816	6771.283492
817	6756.478304
818	6744.974562
819	6733.026884
820	6719.982924
821	6715.996884
822	6709.239244
823	6697.571656
824	6688.671036
825	6677.276391
826	6675.949607
827	6668.879197
828	6662.47628
829	6655.718519
830	6650.411821
831	6636.335104
832	6631.014726
833	6615.869701
834	6606.952366
835	6599.724696
836	6588.077003
837	6574.143201
838	6561.533916
839	6560.305662
840	6552.270639
841	6542.071101
842	6533.100529
843	6527.68244
844	6519.730129
845	6511.871165
846	6504.635289
847	6494.011472
848	6484.769071
849	6474.362277
850	6465.839804
851	6457.417754
852	6448.682837
853	6439.157659
854	6431.666408
855	6425.785171
856	6420.381882
857	6410.712038
858	6403.04106
859	6402.065992
860	6390.075972
861	6382.357351
862	6377.816031
863	6371.882035
864	6359.553856
865	6350.614425
866	6349.079714
867	6340.833724
868	6336.484751
869	6325.490637
870	6318.26411
871	6308.434994
872	6302.923599
873	6296.396136
874	6293.336214
875	6287.314644
876	6275.602727
877	6273.268085
878	6264.375484
879	6258.698442
880	6249.665088
881	6241.587124
882	6230.552617
883	6227.31516
884	6225.73552
885	6217.553659
886	6208.43787
887	6199.063124
888	6192.212917
889	6190.322361
890	6180.227843
891	6170.594577
892	6169.529291
893	6158.235787
894	6146.303458
895	6136.175058
896	6125.549724
897	6118.274942
898	6110.276724
899	6103.400493
900	6098.127839
901	6091.159807
902	6084.664307
903	6071.621598
904	6066.967057
905	6059.332256
906	6054.838342
907	6042.102042
908	6034.090977
909	6028.467168
910	6020.598984
911	6011.578189
912	6003.377251
913	5992.27175
914	5985.608979
915	5977.046215
916	5972.46405
917	5966.491765
918	5957.746773
919	5947.749351
920	5943.54441
921	5937.429035
922	5927.853302
923	5922.800576
924	5921.510539
925	5916.033581
926	5905.294331
927	5894.256224
928	5887.961965
929	5879.572451
930	5871.092653
931	5864.716607
932	5859.16647
933	5850.441119
934	5845.532571
935	5841.882245
936	5831.437093
937	5822.780557
938	5815.711633
939	5810.691409
940	5807.316294
941	5802.132599
942	5796.343496
943	5789.785372
944	5781.711828
945	5776.841397
946	5772.953622
947	5763.549234
948	5755.03488
949	5752.612497
950	5747.678386
951	5737.046016
952	5727.280096
953	5716.334149
954	5710.226611
955	5700.752094
956	5695.73695
957	5687.971173
958	5679.157518
959	5671.343508
960	5660.004495
961	5653.645884
962	5647.937006
963	5643.573419
964	5637.135626
965	5631.318437
966	5625.239674
967	5616.954785
968	5607.845497
969	5598.876637
970	5590.607215
971	5581.396396
972	5576.020271
973	5570.902352
974	5562.781726
975	5554.389477
976	5544.019627
977	5539.349919
978	5536.85354
979	5528.263386
980	5521.710006
981	5513.583036
982	5506.874323
983	5499.357378
984	5490.971659
985	5480.471611
986	5475.055543
987	5466.643328
988	5461.251717
989	5456.002614
990	5451.242972
991	5440.322548
992	5432.218842
993	5427.656048
994	5421.869852
995	5413.322021
996	5405.765336
997	5399.547284
998	5394.740266
999	5384.001023
5399.289699
507
